コード,銘柄名,ticker
2305,スタジオアリス,2305.T
2307,クロスキャット,2307.T
2311,エプコ,2311.T
2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,2315.T
2317,システナ,2317.T
2321,ソフトフロントホールディングス,2321.T
2323,ｆｏｎｆｕｎ,2323.T
2325,ＮＪＳ,2325.T
2326,デジタルアーツ,2326.T
2327,日鉄ソリューションズ,2327.T
2329,東北新社,2329.T
2330,フォーサイド,2330.T
2331,綜合警備保障,2331.T
2332,クエスト,2332.T
2334,イオレ,2334.T
2335,キューブシステム,2335.T
2337,いちご,2337.T
2338,クオンタムソリューションズ,2338.T
2340,極楽湯ホールディングス,2340.T
2341,アルバイトタイムス,2341.T
2342,トランスジェニックグループ,2342.T
2344,平安レイサービス,2344.T
2345,クシム,2345.T
2349,エヌアイデイ,2349.T
2351,ＡＳＪ,2351.T
2353,日本駐車場開発,2353.T
2354,ＹＥ　ＤＩＧＩＴＡＬ,2354.T
2359,コア,2359.T
2370,メディネット,2370.T
2371,カカクコム,2371.T
2372,アイロムグループ,2372.T
2373,ケア２１,2373.T
2374,セントケア・ホールディング,2374.T
2375,ギグワークス,2375.T
2376,サイネックス,2376.T
2378,ルネサンス,2378.T
2379,ディップ,2379.T
2384,ＳＢＳホールディングス,2384.T
2385,総医研ホールディングス,2385.T
2388,ウェッジホールディングス,2388.T
2389,デジタルホールディングス,2389.T
2391,プラネット,2391.T
2393,日本ケアサプライ,2393.T
2395,新日本科学,2395.T
2397,ＤＮＡチップ研究所,2397.T
2404,鉄人化ホールディングス,2404.T
2408,ＫＧ情報,2408.T
2410,キャリアデザインセンター,2410.T
2411,ゲンダイエージェンシー,2411.T
2413,エムスリー,2413.T
2415,ヒューマンホールディングス,2415.T
2418,ツカダ・グローバルホールディング,2418.T
241A,ＲＯＸＸ,241A.T
2424,ブラス,2424.T
2425,ケアサービス,2425.T
2428,ウェルネット,2428.T
2429,ワールドホールディングス,2429.T
